cod_aff_form#program_name#selectivity#geolocation#city#cod_uai#available_places#percent_admitted#number_applicants#percent_scholarship#out_of_sector_candidates#L2_continuation_rate#diploma_earned_ontime
11104#Licence - Langues étrangères appliquées - Parcours Espagnol - Anglais#formation non sélective#{'lon': 2.21449, 'lat': 48.9035}#Nanterre#0921204J#170.0#67.0#1383.0#23.0#5.0#39.7#44.1
11111#BTS - Services - Gestion de la PME#formation sélective#{'lon': 2.27889, 'lat': 48.8974}#Levallois-Perret#0921230M#32.0#28.0#1038.0#35.0#46.0#82.4#62.0
11118#Licence - Portail Droit - Parcours Droit#formation non sélective#{'lon': 2.28598, 'lat': 48.78164}#Sceaux#0912412C#335.0#53.0#4648.0#17.0#5.0#41.4#48.3
11119#Licence - Double diplôme - Licence Droit - Parcours Langues et Civilisations - option Anglais et Allemand#formation sélective#{'lon': 2.28598, 'lat': 48.78164}#Sceaux#0912412C#20.0#73.0#129.0#8.0##41.4#48.3
11125#BTS - Services - Commerce International#formation sélective#{'lon': 2.27611, 'lat': 48.9031}#Courbevoie#0921484N#37.0#48.0#899.0#19.0#8.0#87.3#
11128#BTS - Services - Services informatiques aux organisations#formation sélective#{'lon': 2.27611, 'lat': 48.9031}#Courbevoie#0921484N#35.0#54.0#241.0#15.0#24.0#85.3#
11130#BTS - Services - Négociation et digitalisation de la Relation Client#formation sélective#{'lon': 2.32691, 'lat': 48.941}#Villeneuve-la-Garenne#0921594H#38.0#15.0#2860.0#38.0#46.0#83.7#69.8
11157#BUT - Gestion des entreprises et des administrations#formation sélective#{'lon': 2.20956, 'lat': 48.90298}#Nanterre#0922671D#50.0#12.0#3491.0#26.0#50.0#71.5#
11161#CPGE - PTSI#formation sélective#{'lon': 2.39057, 'lat': 48.9145}#Aubervilliers#0930117X#15.0#50.0#268.0#25.0##92#
11166#BTS - Services - Support à l'action managériale#formation sélective#{'lon': 2.39057, 'lat': 48.9145}#Aubervilliers#0930117X#30.0#32.0#755.0#47.0#46.0#81.8#61.7
11168#BTS - Services - Management Commercial Opérationnel#formation sélective#{'lon': 2.48188, 'lat': 48.906}#Bondy#0930118Y#35.0#12.0#2415.0#41.0#46.0#84.7#66.8
11172#BTS - Services - Comptabilité et gestion#formation sélective#{'lon': 2.45853, 'lat': 48.9238}#Drancy#0930119Z#35.0#33.0#691.0#47.0#45.0#82.3#58.7
11174#BTS - Services - Support à l'action managériale#formation sélective#{'lon': 2.32084, 'lat': 48.9551}#Epinay-sur-Seine#0930120A#24.0#23.0#787.0#40.0#46.0#81.8#61.7
11177#CPGE - PCSI#formation sélective#{'lon': 2.44918, 'lat': 48.8636}#Montreuil#0930121B#35.0#77.0#574.0#26.0##92.6#
11183#BTS - Production - Traitement des matériaux#formation sélective#{'lon': 2.44619, 'lat': 48.8579}#Montreuil#0930122C#24.0#75.0#183.0#14.0#20.0#86#48.1
11190#CPGE - PCSI#formation sélective#{'lon': 2.36431, 'lat': 48.9422}#Saint-Denis#0930125F#24.0#72.0#439.0#32.0##92.6#
11202#CPGE - BCPST#formation sélective#{'lon': 2.50466, 'lat': 48.89805}#Le Raincy#0930830X#35.0#63.0#1014.0#17.0##82.6#
11221#BUT - Génie industriel et maintenance#formation sélective#{'lon': 2.35195, 'lat': 48.9395}#Saint-Denis#0931002J#52.0#39.0#757.0#29.0#50.0#71#
11229#BUT - Techniques de commercialisation#formation sélective#{'lon': 2.35195, 'lat': 48.9395}#Saint-Denis#0931002J#140.0#18.0#8462.0#33.0#50.0#78.5#
11234#BTS - Services - Gestion de la PME#formation sélective#{'lon': 2.49587, 'lat': 48.9476}#Aulnay-sous-Bois#0931026K#25.0#88.0#193.0#34.0#46.0#82.4#62.0
11248#Licence - Mathématiques#formation non sélective#{'lon': 2.33972, 'lat': 48.9571}#Villetaneuse#0931238R#170.0#75.0#2244.0#25.0#5.0#54.4#40.6
11257#Licence - Langues, littératures & civilisations étrangères et régionales - Parcours  Anglais#formation non sélective#{'lon': 2.33972, 'lat': 48.9571}#Villetaneuse#0931238R#120.0#75.0#1054.0#27.0#5.0#38.6#38.7
11262#Licence - Langues, littératures & civilisations étrangères et régionales - Parcours Anglais et Espagnol#formation non sélective#{'lon': 2.33972, 'lat': 48.9571}#Villetaneuse#0931238R#25.0#97.0#78.0#27.0#5.0#38.6#38.7
11263#BTS - Production - Bâtiment#formation sélective#{'lon': 2.53652, 'lat': 48.8849}#Gagny#0931272C#30.0#27.0#710.0#31.0#50.0#83.8#62.6
11264#BTS - Production - Systèmes numériques - Option électronique et communication#formation sélective#{'lon': 2.53652, 'lat': 48.8849}#Gagny#0931272C#13.0#18.0#668.0#30.0#50.0##
11267#Licence - Portail Sciences et Techniques des Activités Physiques et Sportives - Sciences et techniques des activités physiques et sportives (STAPS)#formation non sélective#{'lon': 2.4222900000000003, 'lat': 48.916}#Bobigny#0931391G#300.0#32.0#5090.0#20.0#3.0#48.6#
11270#BTS - Services - Comptabilité et gestion#formation sélective#{'lon': 2.4009, 'lat': 48.9291}#La Courneuve#0931430Z#35.0#35.0#612.0#47.0#45.0#82.3#58.7
11276#CPGE - ENS Rennes D1#formation sélective#{'lon': 2.51968, 'lat': 48.9126}#Livry-Gargan#0931585T#35.0#81.0#761.0#20.0##86.1#
11348#Mise à niveau - Hôtellerie restauration#formation sélective#{'lon': 2.418, 'lat': 48.9494}#Dugny#0932126F#12.0#32.0#159.0#25.0###
11349#BUT - Informatique (Seconde année possible en apprentissage)#formation sélective#{'lon': 2.4638, 'lat': 48.8624}#Montreuil#0932214B#88.0#24.0#3477.0#29.0#50.0#67.6#
11350#BUT - Qualité, logistique industrielle et organisation#formation sélective#{'lon': 2.4638, 'lat': 48.8624}#Montreuil#0932214B#52.0#45.0#592.0#31.0#50.0#68.6#
11356#BUT - Carrières sociales Parcours assistance sociale#formation sélective#{'lon': 2.41717, 'lat': 48.9145}#Bobigny#0932270M#28.0#10.0#827.0#32.0#50.0#70#
11363#CPGE - PTSI#formation sélective#{'lon': 2.32422, 'lat': 48.78821}#Cachan#0940580V#45.0#28.0#1006.0#9.0##92#
11368#BTS - Production - Systèmes numériques - Option électronique et communication#formation sélective#{'lon': 2.32422, 'lat': 48.78821}#Cachan#0940580V#24.0#25.0#1192.0#31.0#50.0##
11374#BTS - Services - Support à l'action managériale#formation sélective#{'lon': 2.46266, 'lat': 48.7828}#Créteil#0940114N#38.0#27.0#780.0#36.0#46.0#81.8#61.7
11375#BTS - Services - Management Commercial Opérationnel#formation sélective#{'lon': 2.46266, 'lat': 48.7828}#Créteil#0940114N#38.0#16.0#1428.0#35.0#46.0#84.7#66.8
11391#CPGE - MPSI#formation sélective#{'lon': 2.46977, 'lat': 48.81014}#Saint-Maur-des-Fossés#0940120V#96.0#18.0#2681.0#12.0##91.4#
11393#CPGE - BCPST#formation sélective#{'lon': 2.46977, 'lat': 48.81014}#Saint-Maur-des-Fossés#0940120V#144.0#62.0#1899.0#10.0##82.6#
11401#BTS - Services - Management Commercial Opérationnel#formation sélective#{'lon': 2.5122, 'lat': 48.7957}#Saint-Maur-des-Fossés#0940122X#35.0#15.0#1708.0#32.0#46.0#84.7#66.8
11407#BTS - Services - Management Commercial Opérationnel#formation sélective#{'lon': 2.42692, 'lat': 48.8466}#Vincennes#0940124Z#35.0#21.0#1446.0#32.0#46.0#84.7#66.8
11408#BTS - Services - Assurance#formation sélective#{'lon': 2.42692, 'lat': 48.8466}#Vincennes#0940124Z#24.0#25.0#968.0#32.0#25.0#80.4#64.2
11414#BTS - Production - Maintenance des systèmes - option A Systèmes de production#formation sélective#{'lon': 2.40036, 'lat': 48.8018}#Vitry-sur-Seine#0940129E#15.0#56.0#280.0#38.0#70.0#59.1#
